Question,Answer,idx,topic
Do I need to see a doctor for Skin lumps ?,Call your provider if there is any unexplained lump or swelling.) ,1876,1
What is (are) Jock itch ? (Also called: Fungal infection - groin; Infection - fungal - groin; Itching in the groin; Ringworm - groin; Tinea cruris; Tinea of the groin),"Jock itch is an infection of the groin area caused by fungus or yeast. The medical term is tinea cruris, or ringworm of the groin.) ",1877,1
What are the symptoms of Jock itch ? (Also called: Fungal infection - groin; Infection - fungal - groin; Itching in the groin; Ringworm - groin; Tinea cruris; Tinea of the groin),"Jock itch usually stays around the creases of the upper thigh and does not involve the scrotum or penis. Jock itch may spread to the anus, causing anal itching and discomfort. Symptoms include:  - Red, raised, scaly patches that may blister and ooze; patches often have sharply-defined edges with scale at the edges.  - Patches areoften redder around the outside with normal skin tone in the center.  - Abnormally dark or light skin. Sometimes, these changes are permanent.) ",1878,1
What causes Skin lumps ?,"Common causes of skin lumps include:  - Lipomas, which are fatty lumps under the skin  - Enlarged lymph glands, usually in the armpits, neck, and groin  - Cyst, a closed sac in or under the skin that is lined with skin tissue and contains fluid or semisolid material  - Benign skin growths such as seborrheic keratoses or neurofibromas  - Boils, painful, red bumps usually involving an infected hair follicle  - Corn or callus, caused by skin thickening in response to continued pressure (for example, from shoes) and usually occurring on a toe or foot  - Warts, a skin virus that develops a rough, hard bump, usually appearing on a hand or foot and often with tiny black dots in the bump  - Moles, skin-colored, tan, or brown bumps on the skin  - Abscess, infected fluid trapped in a closed space from which it cannot escape  - Cancer of the skin (colored or pigmented spot that bleeds easily, changes size or shape, or crusts and does not heal)) ",1879,10
What causes Ankle pain ? (Also called: Pain - ankle),"Ankle pain is often due to an ankle sprain.  - An ankle sprain is an injury to the ligaments, which connect bones to one another.  - In most cases, the ankle is twisted inward, causing small tears in the ligaments. The tearing leads to swelling and bruising, making it difficult to bear weight on the joint.    In addition to ankle sprains, ankle pain can be caused by:  - Damage or swelling of tendons (which join muscles to bone) or cartilage (which cushions joints)  - Infection in the ankle joint  - Osteoarthritis, gout, rheumatoid arthritis, Reiter syndrome, and other types of arthritis    Problems in areas near the ankle that can cause you to feel pain in the ankle include:  - Blockage of blood vessels in the leg  - Heel pain or injuries  - Nerve injuries (such as tarsal tunnel syndrome or sciatica)) ",1880,5
What causes Cancer treatment: dealing with pain ?,"The pain from cancer can have a few different causes:  - The cancer. When a tumor grows it can press on nerves, bones, organs, or the spinal cord, causing pain.  - Medical tests. Some medical tests, such as a biopsy or bone marrow test, can cause pain.  - Treatment. Many types of cancer treatments can cause pain, including chemotherapy, radiation, and surgery.    Everyone's pain is different. Your pain can range from mild to severe and may last for only a short time or continue for a long time.) ",1881,4
What causes Elbow pain ? (Also called: Pain - elbow),"Elbow pain can be caused by many problems. A common cause in adults is tendinitis. This is inflammation and injury to the tendons, which are soft tissues that attach muscle to bone.  People who play racquet sports are most likely to injure the tendons on the outside of the elbow. This condition is commonly called tennis elbow. Golfers are more likely to injure the tendons on the inside of the elbow.  Other common causes of elbow tendinitis are gardening, playing baseball, using a screwdriver, or overusing your wrist and arm.  Young children commonly develop ""nursemaid's elbow,"" usually when someone is pulling on their straightened arm. The bones are stretched apart momentarily and a ligament slips in between. It becomes trapped when the bones try to snap back into place. Children will usually quietly refuse to use the arm, but often cry out when they try to bend or straighten the elbow. This condition is also called an elbow subluxation (a partial dislocation).  Other common causes of elbow pain are:  - Bursitis -- inflammation of a fluid-filled cushion beneath the skin  - Arthritis -- narrowing of the joint space and loss of cartilage in the elbow  - Elbow strains  - Infection of the elbow) ",1882,4
What causes Eye pain ? (Also called: Ophthalmalgia; Pain - eye),"Many things can cause pain in or around the eye. If the pain is severe, does not go away, or causes vision loss, seek medical attention immediately.  Some things that can cause eye pain are:  - Infections  - Inflammation  - Contact lens problems  - Dry eye  - Acute glaucoma  - Sinus problems  - Neuropathy  - Eyestrain  - Headache  - Flu) ",1883,3
What causes Face pain ?,"Pain that starts in the face may be caused by a nerve problem, injury, or infection. Face pain may also begin in other places in the body.   - Abscessed tooth (ongoing throbbing pain on one side of the lower face that gets worse with eating or touching)  - Cluster headache  - Herpes zoster (shingles) or herpes simplex (cold sores) infection  - Injury to the face  - Migraine  - Myofascial pain syndrome  - Sinusitis or sinus infection (dull pain and tenderness around the eyes and cheekbones that gets worse when you bend forward)  - Tic douloureux  - Temporomandibular joint dysfunction syndrome    Sometimes the reason for the face pain is unknown.) ",1884,6
What causes Finger pain ? (Also called: Pain - finger),"Injuries are a common cause of finger pain. Your finger may become injured from:  - Playing contact sports such as football, baseball, or soccer  - Doing recreational activities such as skiing or tennis  - Using machinery at home or work  - Doing tasks at home, such as cooking, gardening, cleaning, or repairs  - Falling  - Getting into a fist fight or punching something  - Doing repetitive movements like typing    Injuries that can cause finger pain include:  - Smashed fingers, such as from a hammer blow or a car door that crushes the finger  - Compartment syndrome, which is severe swelling and pressure in an area of muscles, nerves, and blood vessels. A crushing injury can cause this serious condition, which requires immediate medical attention.  - Mallet finger, when you can't straighten your finger. Sports injuries are a common cause.  - Finger strains, sprains, and bruises  - Broken finger bones  - Skier's thumb, an injury to the ligaments in your thumb, such as from a fall during skiing  - Cuts and puncture wounds  - Dislocation   Certain conditions can also cause finger pain:  - Arthritis, the breakdown of cartilage in the joint that causes inflammation with pain, stiffness, and swelling  - Carpal tunnel syndrome, pressure on the nerve in the wrist, or other nerve problems causing numbness and pain in the hand and fingers  - Raynaud's phenomenon, a condition that results in blocked blood flow to the fingers when it is cold  - Trigger finger, when a swollen finger tendon makes it hard to straighten or bend your finger  - Dupuytrens contracture, which causes tissue in the palm of the hand to become tighter. This makes it hard to straighten the fingers.  - De Quervain tenosynovitis, which is pain in the tendons along the thumb side of the wrist from overuse.  - Infections   - Tumors) ",1885,6
What causes Flank pain ? (Also called: Pain - side; Side pain),"Flank pain may be caused by any of the following:  - Arthritis or infection of the spine  - Back problem, such as disk disease  - Gallbladder disease  - Gastrointestinal disease  - Liver disease  - Muscle spasm  - Kidney stone, infection, or abscess  - Shingles (pain with one-sided rash)  - Spinal fracture) ",1886,4
What causes Foot pain ? (Also called: Pain - foot),"Foot pain may be due to:  - Aging  - Being on your feet for long periods of time  - Being overweight  - A foot deformity that you were born with or develops later  - Injury  - Shoes that fit poorly or do not have much cushioning  - Too much walking or other sports activity    The following can cause foot pain:  - Arthritis and gout: Common in the big toe, which becomes red, swollen, and very tender  - Broken bones  - Bunions: A bump at the base of the big toe from wearing narrow-toed shoes or from abnormal bone alignment.  - Calluses and corns: Thickened skin from rubbing or pressure. Calluses are on the balls of the feet or heels. Corns appear on the top of your toes.  - Hammer toes: Toes that curl downward into a claw-like position.  - Fallen arches: Also called flat feet.  - Morton's neuroma: A thickening of nerve tissue between the toes.  - Nerve damage from diabetes  - Plantar fasciitis  - Plantar warts: Sores on the soles of your feet due to pressure  - Sprains  - Stress fracture) ",1887,4
What is (are) Foot pain causes ? (Also called: Causes of foot pain),"Many things can cause foot pain. You may feel it in your toes, arch, sole, or heel of your foot. Foot pain may be due to:   - Being on your feet for long periods of time  - Being overweight  - Wearing shoes that fit poorly or do not have much cushioning  - Having flat feet (fallen arches)  - Walking or doing other sports activities too much  - Getting an injury, such as a broken bone, sprain, or stress fracture  - Having plantar warts  - Having foot problems such as bunions, calluses and corns, or hammer toes  - Having conditions such as diabetes, arthritis, nerve problems, circulation problems, or gout that may cause problems with the feet) ",1888,4
What causes Groin pain ? (Also called: Pain - groin; Lower abdominal pain; Genital pain; Perineal pain),"Common causes of groin pain include:  - Pulled muscle, tendon, or ligaments in the leg: This problem often occurs in people who play sports such as hockey, soccer, and football. This condition is sometimes called ""sports hernia"" although the name is misleading since it is not an actual hernia. It may also involve pain in the testicles.  - Hernia:This problem occurs when there is a weak spot in the wall of the abdominal muscle that allows internal organs to press through.  - Disease or injury to the hip joint.   Less common causes include:  - Inflammation of the testicle or epididymitis and related structures  - Twisting of the spermatic cord that attaches to the testicle (testicular torsion)  - Tumor of the testicle  - Kidney stone  - Inflammation of the small or large intestine  - Skin infection  - Enlarged lymph glands  - Urinary tract infection) ",1889,0
What causes Hip pain ? (Also called: Pain - hip),"Hip pain may be caused by problems in the bones or cartilage of your hip, including:   - Hip fractures  can cause sudden hip pain. These injuries can be serious and lead to major problems. Hip fractures are more common as people get older because falls are more likely and your bones become weaker.  - Infection in the bones or joints  - Osteonecrosis of the hip (necrosis from loss of blood supply to the bone)  - Arthritis-- often felt in the front part of the thigh or groin  - Labral tear of the hip   Pain in or around the hip may also be caused by problems such as:  - Bursitis  pain when getting up from a chair, walking, climbing stairs, and driving  - Hamstring strain  - Iliotibial band syndrome  - Hip flexor strain  - Hip impingement syndrome  - Groin strain  - Snapping hip syndrome   Pain you feel in the hip may reflect a problem in your back, rather than in the hip itself.) ",1890,4
What causes Knee pain ? (Also called: Pain - knee),"Knee pain can have different causes. Being overweight puts you at greater risk for knee problems. Overusing your knee can trigger knee problems that cause pain. If you have a history of arthritis, it could also cause knee pain.   Here are some common causes of knee pain:  Medical conditions  - Arthritis. Including rheumatoid arthritis, osteoarthritis, lupus, and gout.  - Baker's cyst. A fluid-filled swelling behind the knee that may occur with swelling (inflammation) from other causes, like arthritis.  - Cancers that either spread to your bones or begin in the bones  - Osgood-Schlatter disease  - Infection in the bones of the knee  - Infection in the knee joint   Injuries and overuse  - Bursitis. Inflammation from repeated pressure on the knee, such as kneeling for a long time, overuse, or injury.  - Dislocation of the kneecap  - Fracture of the kneecap or other bones  - Iliotibial band syndrome. Injury to the thick band that runs from your hip to the outside of your knee.  - Pain in the front of your knee around the kneecap  - Torn ligament. An anterior cruciate ligament (ACL) injury, or medial collateral ligament (MCL) injury may cause bleeding into your knee, swelling, or an unstable knee.  - Torn cartilage (a meniscus tear). Pain felt on the inside or outside of the knee joint.  - Strain or sprain. Minor injuries to the ligaments caused by sudden or unnatural twisting.) ",1891,4
What causes Penis pain ? (Also called: Pain - penis),"Causes may include:  - Bladder stone  - Bites, either human or insect  - Cancer of the penis  - Erection that does not go away (priapism)  - Genital herpes  - Infected hair follicles  - Infected prosthesis of the penis  - Infection under the foreskin of uncircumcised men (balanitis)  - Inflammation of the prostate gland (prostatitis)  - Injury  - Peyronie's disease  - Reiter syndrome  - Sickle cell anemia  - Syphilis  - Urethritis caused by chlamydia or gonorrhea) ",1892,0
What is (are) Rib fracture - aftercare ?,"A rib fracture is a crack or break in one or more of your rib bones.   Your ribs are the round, flat bones in your chest that wrap around your upper body. They connect your breastbone to your spine.) ",1893,1
What is (are) Rib fracture - aftercare ?,"A rib fracture can be very painful because your ribs move when you breathe, cough, and move your upper body.  The ribs in the middle of the chest are the ones that break most often.  Rib fractures often occur with other chest and organ injuries. So your doctor will also check to see if you have any other injuries.) ",1894,1
What causes Shoulder pain ? (Also called: Pain - shoulder),"The most common cause of shoulder pain occurs when rotator cuff tendons become trapped under the bony area in the shoulder. The tendons become inflamed or damaged. This condition is called rotator cuff tendinitisor bursitis.   Shoulder pain may also be caused by:  - Arthritis in the shoulder joint  - Bone spurs in the shoulder area   - Bursitis, which is inflammation of a fluid-filled sac (bursa) that normally protects the joint and helps it move smoothly  - Broken shoulder bone  - Dislocation of the shoulder  - Shoulder separation  - Frozen shoulder, which occurs when the muscles, tendons, and ligaments inside the shoulder become stiff, making movement difficult and painful  - Overuse or injury of nearby tendons, such as the bicep muscles of the arms  - Tears of the rotator cuff tendons       Watch this video about:   Shoulder joint dislocation     Sometimes, shoulder pain may be due to a problem in another area of the body, such as the neck or lungs. This is called referred pain. There is usually no pain when moving the shoulder.) ",1895,1
What causes Ribcage pain ? (Also called: Pain - ribcage),"Ribcage pain may be caused by any of the following:  - Bruised, cracked, or fractured rib  - Inflammation of cartilage near the breastbone (costochondritis)  - Osteoporosis  - Pleurisy (the pain is worse when breathing deeply)) ",1896,8
Do you have information about Lead and tap water (Also called: Water contaminated with lead),"The Environmental Protection Agency (EPA) monitors drinking water and requires water suppliers to produce annual water quality reports. These reports, which include information about lead amounts, are available to consumers. For more information, call the EPA's Safe Drinking Water Hotline (800-426-4791) and the National Lead Information Center (800-LEAD-FYI).) ",1897,2
Do you have information about Lead levels - blood (Also called: Blood lead levels),Blood lead level is a test that measures the amount of lead in the blood.,1898,5
What is (are) Lead poisoning ? (Also called: Plumbism),"Lead is a very strong poison. When a person swallows a lead object or breathes in lead dust, some of the poison can stay in the body and cause serious health problems.  This article is for information only. Do NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call your local emergency number (such as 911), or your local poison center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.) ",1899,9
What to do for Lead poisoning ? (Also called: Plumbism),"You can reduce exposure to lead with the following steps:  - If you suspect you may have lead paint in your house, get advice on safe removal from the U.S. Department of Housing and Urban Development (HUD) at 800-RID-LEAD, or the National Information Center at 800-LEAD-FYI. Another excellent source of information is the National Lead Information Center -- www.epa.gov/lead at (800) 424-5323.  - Keep your home as dust-free as possible.  - Have everyone wash their hands before eating.  - Throw out old painted toys if you do not know whether the paint contains lead.  - Let tap water run for a minute before drinking or cooking with it.  - If your water has tested high in lead, consider installing an effective filtering device or switch to bottled water for drinking and cooking.  - Avoid canned goods from foreign countries until the ban on lead soldered cans goes into effect.  - If imported wine containers have a lead foil wrapper, wipe the rim and neck of the bottle with a towel moistened with lemon juice, vinegar, or wine before using.  - DO NOT store wine, spirits, or vinegar-based salad dressings in lead crystal decanters for long periods of time, because lead can get into the liquid.) ",1900,2
What is (are) Lead Poisoning ? (Also called: Plumbism),"Lead is a metal that occurs naturally in the earth's crust. Lead can be found in all parts of our environment. Much of it comes from human activities such as mining and manufacturing. Lead used to be in paint; older houses may still have lead paint. You could be exposed to lead by       - Eating food or drinking water that contains lead. Water pipes in older homes may contain lead.    - Working in a job where lead is used    - Using lead in a hobby, such as making stained glass or lead-glazed pottery    - Using folk remedies such as herbs or foods that contain lead       Breathing air, drinking water, eating food, or swallowing or touching dirt that contains lead can cause many health problems. Lead can affect almost every organ and system in your body. In adults, lead can increase blood pressure and cause infertility, nerve disorders, and muscle and joint pain. It can also make you irritable and affect your ability to concentrate and remember.    Lead is especially dangerous for children. A child who swallows large amounts of lead may develop anemia, severe stomachache, muscle weakness, and brain damage. Even at low levels, lead can affect a child's mental and physical growth.    Agency for Toxic Substances Disease Registry) ",1901,2
What is (are) Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),Hantavirus is a life-threatening viral infection spread to humans by rodents. It has symptoms similar to influenza.) ,1902,2
What causes Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),"Hantavirus is carried by rodents, especially deer mice. The virus is found in their urine and feces, but it does not make the animal sick.  It is believed that humans can get sick with this virus if they breathe in contaminated dust from mice nests or droppings. You may come in contact with such dust when cleaning homes, sheds, or other enclosed areas that have been empty for a long time.  Hantavirus does not seem to spread between humans.) ",1903,3
How to diagnose Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),"The health care provider will perform a physical exam. This may reveal:  - Acute respiratory distress syndrome (ARDS)  - Kidney failure  - Low blood pressure (hypotension)  - Low blood oxygen levels, which cause the skin to turn a blue color    The following tests may be done:  - Blood tests to check for signs of hantavirus  - Complete blood count (CBC)  - Complete metabolic panel  - Kidney and liver function tests  - X-ray of the chest  - CT scan of the chest) ",1904,5
Do I need to see a doctor for Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),"Call your health care provider if you develop flu-like symptoms after you come in contact with rodent droppings or rodent urine, or dust that is contaminated with these substances.) ",1905,2
How to prevent Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),"Avoid exposure to rodent urine and droppings.  - Drink disinfected water.  - When camping, sleep on a ground cover and pad.  - Keep your home clean. Clear out potential nesting sites and clean your kitchen.    If you must work in an area where contact with rodent urine or feces is possible, follow these recommendations from the Centers for Disease Control and Prevention (CDC):  - When opening an unused cabin, shed, or other building, open all the doors and windows, leave the building, and allow the space to air out for 30 minutes.  - Return to the building and spray the surfaces, carpet, and other areas with a disinfectant. Leave the building for another 30 minutes.  - Spray mouse nests and droppings with a 10% solution of chlorine bleach or similar disinfectant. Allow it to sit for 30 minutes. Using rubber gloves, place the materials in plastic bags. Seal the bags and throw them in the trash or an incinerator. Dispose of gloves and cleaning materials in the same way.  - Wash all potentially contaminated hard surfaces with a bleach or disinfectant solution. Avoid vacuuming until the area has been thoroughly decontaminated. Then, vacuum the first few times with enough ventilation. Surgical masks may provide some protection.  - If you have a heavy infestation of rodents, call a pest control company. They have special cleanup equipment and methods.) ",1906,2
how can hps be prevented for Hantavirus ?,"Eliminate or minimize contact with rodents in your home, workplace, or campsite. If rodents don't find that where you are is a good place for them to be, then you're less likely to come into contact with them. Seal up holes and gaps in your home or garage. Place traps in and around your home to decrease rodent infestation. Clean up any easy-to-get food.",1907,2
What is (are) Hantavirus Infections ? (Also called: Hanta virus; HPS),"Hantavirus pulmonary syndrome (HPS) is a rare but deadly viral infection. It is spread by mice and rats. They shed the virus in their urine, droppings, and saliva. Tiny droplets with the virus can enter the air. People can get the disease if they breathe infected air or come into contact with rodents or their urine or droppings. You cannot catch it from people.    Early symptoms of HPS include       -  Fatigue    -  Fever     -  Muscle aches, especially in the thighs, hips and back    -  Headaches    -  Chills    -  Dizziness    -  Nausea, vomiting, diarrhea or abdominal pain       Later symptoms include coughing and shortness of breath.     Controlling rodents in and around your house is the best way to prevent infection. If you have been around rodents and have symptoms of fever, deep muscle aches, and severe shortness of breath, see your doctor immediately.    There is no specific treatment, cure, or vaccine for HPS. Patients may do better if it is recognized early and they get medical care in an intensive care unit. They often need to use a breathing machine and have oxygen therapy.    Centers for Disease Control and Prevention) ",1908,3
What causes Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),"Hantavirus is carried by rodents, especially deer mice. The virus is found in their urine and feces, but it does not make the animal sick.  It is believed that humans can get sick with this virus if they breathe in contaminated dust from mice nests or droppings. You may come in contact with such dust when cleaning homes, sheds, or other enclosed areas that have been empty for a long time.  Hantavirus does not seem to spread between humans.) ",1909,3
What are the symptoms of Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),"The early symptoms of hantavirus disease are similar to the flu and include:  - Chills  - Fever  - Muscle aches    People with hantavirus may begin to feel better for a very short time. But within 1 to 2 days, it becomes hard to breathe. The disease gets worse quickly. Symptoms include:  - Dry cough  - General ill feeling (malaise)  - Headache  - Nausea and vomiting  - Shortness of breath) ",1910,3
what are the symptoms for Hantavirus ?,"Due to the small number of HPS cases, the ""incubation time"" is not positively known. However, on the basis of limited information, it appears that symptoms may develop between 1 and 5 weeks after exposure to fresh urine, droppings, or saliva of infected rodents.",1911,9
What is (are) Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),Hantavirus is a life-threatening viral infection spread to humans by rodents. It has symptoms similar to influenza.) ,1912,2
What is the outlook for Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),"Hantavirus is a serious infection that gets worse quickly. Lung failure can occur and may lead to death. Even with aggressive treatment, more than half of people who have this disease in their lungs die.) ",1913,4
What are the complications of Hantavirus ? (Also called: Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome),Complications of hantavirus may include:  - Kidney failure  - Heart and lung failure   These complications can lead to death.) ,1914,0
what are the symptoms for Hantavirus ?,"Due to the small number of HPS cases, the ""incubation time"" is not positively known. However, on the basis of limited information, it appears that symptoms may develop between 1 and 5 weeks after exposure to fresh urine, droppings, or saliva of infected rodents.",1915,9
what is the history of hps for Hantavirus ?,"The ""First""Outbreak",1916,2
Do you have information about Body temperature norms (Also called: Normal body temperature; Temperature - normal),"Normal body temperature varies by person, age, activity, and time of day. The average normal body temperature is generally accepted as 98.6F (37C). Some studies have shown that the ""normal"" body temperature can have a wide range, from 97F (36.1C) to 99F (37.2C).  A temperature over 100.4F (38C) most often means you have a fever caused by an infection or illness.  Body temperature normally changes throughout the day.) ",1917,7
What causes Brucellosis ? (Also called: Cyprus fever; Undulant fever; Gibraltar fever; Malta fever; Mediterranean fever),"Brucella can infect cattle, goats, camels, dogs, and pigs. The bacteria can spread to humans if you come in contact with infected meat or the placenta of infected animals, or if you eat or drink unpasteurized milk or cheese.  Brucellosis is rare in the United States. About 100 to 200 cases occur each year.Most cases are caused by the Brucellosis melitensis bacteria.  People working in jobs where they often come in contact with animals or meat -- such as slaughterhouse workers, farmers, and veterinarians -- are at higher risk.) ",1918,8
What causes Colorado tick fever ? (Also called: Mountain tick fever; Mountain fever; American mountain fever),"This disease is usually seen between March and September. Most cases occur in April, May, and June.  Colorado tick fever is seen most often in Colorado, especially in campers. The disease is much less common in the rest of the United States.) ",1919,5
What is (are) Fever ? (Also called: Elevated temperature; Hyperthermia; Pyrexia),"Fever is the temporary increase in the body's temperature in response to a disease or illness.  A child has a fever when the temperature is at or above one of these levels:  - 100.4F (38C) measured in the bottom (rectally)  - 99.5F (37.5C) measured in the mouth (orally)  - 99F (37.2C) measured under the arm (axillary)    An adult probably has a fever when the temperature is above 99 - 99.5F (37.2 - 37.5C), depending on the time of day.) ",1920,2
What causes Q fever ? (Also called: Query fever),Q fever is found around the world and is caused by the bacteria Coxiella burnetii. These bacteria can infect:   - Sheep  - Goats  - Cattle  - Dogs  - Cats  - Birds  - Rodents  - Ticks   Infected animals shed these bacteria in:  - Birth products  - Feces  - Milk  - Urine    Humans usually get Q fever by breathing in contaminated droplets released into the air by infected animals. Drinking raw milk has also caused infection in rare cases. People at highest risk for this infection are:  - Farmers  - Laboratory workers who work with Coxiella burnetii  - Sheep and dairy workers  - Veterinarians    People at highest risk include those with heart valve problems or weakened immune systems.) ,1921,2
What causes Q fever - early ?,"Q fever is caused by the bacteria Coxiella burnetii, which live in domestic animals such as cattle, sheep, goats, birds, and cats. Some wild animals and ticks also carry the bacteria.  You can get Q fever by drinking raw (unpasteurized) milk, or afterbreathing indust or droplets in the air that are contaminated with infected animal feces, blood, or birth products.  Symptoms usually develop 2 to 3 weeks after coming in contact with the bacteria. This timeis called the incubation period. Most people have no symptoms. Others may have moderately severe symptoms similar to the flu. If symptoms occur, they may last for several weeks.  People at risk for infection include slaughterhouse workers, veterinarians, researchers, food processors, and sheep and cattle workers. Men are infected more often than women. Most people who get Q fever are between 30 and 70 years old.  This disease is occasionally seen in children, especially those who live on a farm. In infected children younger than 3 years old, Q fever is usually discovered while looking for the cause of pneumonia.) ",1922,2
What causes Rheumatic fever ? (Also called: Acute rheumatic fever),"Rheumatic fever is common in developing countries worldwide. It does not often occur in the United States and other developed countries. When rheumatic fever does occur in the U.S., it is usually in isolated outbreaks. The latest outbreak in the U.S. was in the 1980s.  Rheumatic fever mainly affects children ages 5 -15 who have had strep throat or scarlet fever. If it occurs, it develops about 14 - 28 days after these illnesses.) ",1923,2
What causes Typhoid fever ? (Also called: Enteric fever),"S typhi is spread through contaminated food, drink, or water. If you eat or drink something that is contaminated with the bacteria, the bacteria enter your body. They travel into your intestines, and then into your blood. In the blood, they travel to your lymph nodes, gallbladder, liver, spleen, and other parts of the body.  Some people become carriers of S typhi and continue to release the bacteria in their stools for years, spreading the disease.  Typhoid fever is common in developing countries. Fewer than 400 cases are reported in the US each year. Most cases in the US are brought in from other countries where typhoid fever is common.) ",1924,5
What causes Yellow fever ?,"Yellow fever is caused by a virus carried by mosquitoes. You can catch this disease if you are bitten by a mosquito infected with this virus.  This disease is common in South America and in sub-Saharan Africa.  Anyone can get yellow fever, but the elderly have a higher risk of severe infection.   If a person is bitten by an infected mosquito, symptoms usually develop 3 - 6 days later.) ",1925,2
What causes Appendicitis ?,"Appendicitis is a very common cause of emergency surgery. The problem most often occurs when the appendix becomes blocked by feces, a foreign object, or rarely, a tumor.) ",1926,6
How to diagnose Appendicitis ?,"How you describe your symptoms can lead your health care provider to suspect appendicitis.   Your provider will do a physical exam.   - If you have appendicitis, your pain will increase when your lower right belly area is pressed.  - If your appendix has ruptured, touching the belly area may cause a lot of pain and lead you to tighten your muscles.  - A rectal exam may find tenderness on the right side of your rectum.    A blood test will often show a high white blood cell count. Imaging tests may also help diagnose appendicitis. Imaging tests include:  - CT scan of the abdomen  - Ultrasound of the abdomen) ",1927,5
What are the treatments for Appendicitis ?,"Most of the time, a surgeon will remove your appendix as soon as you are diagnosed.   If a CT scan shows that you have an abscess, you may be treated with antibiotics first. You will have your appendix removed after the infection and swelling have gone away.  The tests used to diagnose appendicitis are not perfect. As a result, the operation may show that your appendix is normal. In that case, the surgeonwill remove your appendix and explore the rest of your abdomen for other causes of your pain.) ",1928,8
What is the outlook for Appendicitis ?,"Most people recover quickly after surgery if the appendix is removed before it ruptures.  If your appendix ruptures before surgery, recovery may take longer. You are also more likely to develop or problems, such as:  - An abscess  - Blockage of the intestine  - Infection inside the abdomen (peritonitis)  - Infection of the wound after surgery) ",1929,10
Do I need to see a doctor for Appendicitis ?,"Call your provider if you have abdominal pain in the lower-right portion of your belly, or other symptoms of appendicitis.) ",1930,8
Do you have information about Body temperature norms (Also called: Normal body temperature; Temperature - normal),"Normal body temperature varies by person, age, activity, and time of day. The average normal body temperature is generally accepted as 98.6F (37C). Some studies have shown that the ""normal"" body temperature can have a wide range, from 97F (36.1C) to 99F (37.2C).  A temperature over 100.4F (38C) most often means you have a fever caused by an infection or illness.  Body temperature normally changes throughout the day.) ",1931,7
What is (are) Fever ? (Also called: Elevated temperature; Hyperthermia; Pyrexia),"Fever is the temporary increase in the body's temperature in response to a disease or illness.  A child has a fever when the temperature is at or above one of these levels:  - 100.4F (38C) measured in the bottom (rectally)  - 99.5F (37.5C) measured in the mouth (orally)  - 99F (37.2C) measured under the arm (axillary)    An adult probably has a fever when the temperature is above 99 - 99.5F (37.2 - 37.5C), depending on the time of day.) ",1932,2
What to do for Fever ? (Also called: Elevated temperature; Hyperthermia; Pyrexia),"Normal body temperature may change during any given day. It is usually highest in the evening. Other factors that may affect body temperature are:  - A woman's menstrual cycle. In the second part of this cycle, her temperature may go up by 1 degree or more.  - Physical activity, strong emotion, eating, heavy clothing, medications, high room temperature, and high humidity can all increase body temperature.    Fever is an important part of the body's defense against infection. Most bacteria and viruses that cause infections in people thrive best at 98.6F. Many infants and children develop high fevers with mild viral illnesses. Although a fever signals that a battle might be going on in the body, the fever is fighting for, not against the person.  Brain damage from a fever generally will not occur unless the fever is over 107.6F (42C). Untreated fevers caused by infection will seldom go over 105F unless the child is overdressed or trapped in a hot place.  Febrile seizures do occur in some children. Most febrile seizures are over quickly and do not mean your child has epilepsy. These seizures also do not cause any permanent harm.  Unexplained fevers that continue for days or weeks are called fevers of undetermined origin (FUO).) ",1933,2
