,sentence_Question,sentence_Answer,topic,sentiment
1479,what is.  sleep apnea.,"sleep apnea is a common disorder that causes your breathing to stop or get very shallow. breathing pauses can last from a few seconds to minutes. they may occur 30 times or more an hour. the most common type is obstructive sleep apnea. it causes your airway to collapse or become blocked during sleep. normal breathing starts again with a snort or choking sound. people with sleep apnea often snore loudly. however, not everyone who snores has sleep apnea. you are more at risk for sleep apnea if you are overweight, male, or have a family history or small airways. children with enlarged tonsils may also get it. doctors diagnose sleep apnea based on medical and family histories, a physical exam, and sleep study results. when your sleep is interrupted throughout the night, you can be drowsy during the day. people with sleep apnea are at higher risk for car crashes, work-related accidents, and other medical problems. if you have it, it is important to get treatment. lifestyle changes, mouthpieces, surgery, and breathing devices can treat sleep apnea in many people. nih: national heart, lung, and blood institute)",3,0
1480,what are the symptoms of achondroplasia ?,the typical appearance of achondroplastic dwarfism can be seen at birth. symptoms may include: - abnormal hand appearance with persistent space between the long and ring fingers - bowed legs - decreased muscle tone - disproportionately large head-to-body size difference - prominent forehead.  - shortened arms and legs.  - short stature.  - spinal stenosis - spine curvatures called kyphosis and lordosis),5,2
1481,what are the symptoms of acidosis ?,"metabolic acidosis symptoms depend on the underlying disease or condition. metabolic acidosis itself usually causes rapid breathing. confusion or lethargy may also occur. severe metabolic acidosis can lead to shock or death. respiratory acidosis symptoms can include confusion, fatigue, lethargy, shortness of breath, and sleepiness.)",6,0
1482,what are the symptoms of alkalosis ?,"symptoms of alkalosis can include any of the following: - confusion.  - hand tremor - light-headedness - muscle twitching - nausea, vomiting - numbness or tingling in the face, hands, or feet - prolonged muscle spasms.",6,2
1483,what are the symptoms of aneurysm ?,"the symptoms depend on where the aneurysm is located. if the aneurysm occurs near the body's surface, pain and swelling with a throbbing lump is often seen. aneurysms in the body or brain often cause no symptoms. aneurysms in the brain may expand without breaking open.. the expanded aneurysm may press on nerves and cause double vision, dizziness, or headaches. some aneurysms may cause ring in the ears. if aneurysm ruptures, pain, low blood pressure, a rapid heart rate, and light-headedness may occur. the risk of death after a rupture is high.)",6,0
1484,what are the symptoms of ascariasis ?,"most of the time, there are no symptoms. if there are symptoms, they may include: - bloody sputum.  - cough - low-grade fever - passing worms in stool - shortness of breath - skin rash - stomach pain - vomiting worms - wheezing - worms leaving the body through the nose or mouth)",6,0
1485,what is.  blockage of upper airway.,"blockage of the upper airway occurs when the upper breathing passages become narrowed or blocked, making it hard to breathe. areas in the upper airway that can be affected are the windpipe. , voice box.  or throat..)",6,0
1486,what causes blockage of upper airway.,"the airway can become narrowed or blocked due to many causes, including: - allergic reactions in which the trachea or throat swell closed, including allergic reactions to a bee sting, peanuts, antibiotics. , and blood pressure medicines.  - chemical burns and reactions - epiglottis.  - fire or burns from breathing in smoke - foreign bodies, such as peanuts and other breathed-in foods, pieces of a balloon, buttons, coins, and small toys - infections of the upper airway area - injury to the upper airway area - peritonsillar abscess.  - retropharyngeal abscess.  - throat cancer - tracheomalacia.  - vocal cord problems)",6,0
1487,what are the symptoms of blockage of upper airway.,"symptoms vary, depending on the cause. but some symptoms are common to all types of airway blockage. these include: - agitation or fidgeting - bluish color to the skin.  - changes in consciousness - choking - confusion - difficulty breathing - gasping for air - panic - unconsciousness - wheezing, crowing, whistling, or other unusual breathing noises indicating breathing difficulty)",6,0
1488,what are the treatments for blockage of upper airway.,"treatment depends on the cause of the blockage. - objects stuck in the airway may be removed with special instruments. - a tube may be inserted into the airway.  to help with breathing. - sometimes an opening is madethrough the neckinto the airway.. if the obstruction is due to a foreign body, such as a piece of food that has been breathed in, doing abdominal thrusts can save the person's life.)",4,2
1489,how to prevent blockage of upper airway.,prevention depends on the cause of the upper airway obstruction. the following methods may help prevent an obstruction: - eat slowly and chew food completely. - do not drink too much alcohol before or while eating. - keep small objects away from young children. - make sure dentures fit properly. learn how to clear a foreign body from the airway using a method such as abdominal thrusts.),4,2
1490,what are the symptoms of botulism ?,"symptoms often appear 8to 36 hours after you eat food contaminated with the toxin. there is no fever with this infection. in adults, symptoms may include: - abdominal cramps - breathing difficulty that may lead to respiratory failure - difficulty swallowing and speaking - double vision - nausea - vomiting - weakness with paralysis.  symptoms infants may include: - constipation - drooling - poor feeding and weak sucking - respiratory distress - weak cry - weakness, loss of muscle tone)",6,0
1491,what is.  defing overweight and obesity - children ?,"obesity means having too much body fat. it is not the same as overweight, which means weighing too much. obesity is becoming much more common in childhood. most often, it begins between the ages of 5 and 6 and in adolescence. child health experts recommend that children be screened for obesity at age 2. if need, they should be referred to weight-management programs.)",5,0
1492,do you have information about ear wax.,the ear canal is lined with hair follicles and glands that produce a waxy oil called cerumen. the wax will most often make its way to the opening of the ear. there it will fall out or be removed by washing. wax can build up and block the ear canal. wax blockage is one of the most common causes of hearing loss.,1,0
1493,do you have information about his bundle electrography.,his bundle electrography is a test that measures electrical activity in a part of the heart that carries the signals that control the time between heartbeats..,3,1
1494,what is.  progressive familial heart block.,"progressive familial heart block is a genetic condition that alters the normal beating of the heart. a normal heartbeat is controlled by electrical signals that move through the heart in a highly coordinated way. these signals begin a specialized cluster of cells called the sinoatrial node.  located in the heart's upper chambers.. from there, a group of cells called the atrioventricular node carries the electrical signals to another cluster of cells called the bundle of his. this bundle separates into multiple thin spindles called bundle branches, which carry electrical signals into the heart's lower chambers.. electrical impulses move from the sinoatrial node down to the bundle branches, stimulating a normal heartbeat in which the ventricles contract slightly later than the atria. heart block occurs when the electrical signaling is obstructed anywhere from the atria to the ventricles. in people with progressive familial heart block, the condition worsens over time: early in the disorder, the electrical signals are partially blocked, but the block eventually becomes complete, preventing any signals from passing through the heart. partial heart block causes a slow or irregular heartbeat. , and can lead to the buildup of scar tissue.  in the cells that carry electrical impulses. fibrosis contributes to the development of complete heart block, resulting in uncoordinated electrical signaling between the atria and the ventricles and inefficient pumping of blood in the heart. complete heart block can cause a sensation of fluttering or pounding in the chest. , shortness of breath, fainting. , or sudden cardiac arrest and death. progressive familial heart block can be divided into type i and type ii, with type i being further divided into types ia and ib. these types differ in where in the heart signaling is interrupted and the genetic cause. in types ia and ib, the heart block originates in the bundle branch, and in type ii, the heart block originates in the atrioventricular node. the different types of progressive familial heart block have similar signs and symptoms. most cases of heart block are not genetic and are not considered progressive familial heart block. the most common cause of heart block is fibrosis of the heart, which occurs a normal process of aging. other causes of heart block can include the use of certain medications or an infection of the heart tissue.)",0,0
1495,how many people are affected by progressive familial heart block.,"the prevalence of progressive familial heart block is unknown. in the united states, about 1 in 5,000 individuals have complete heart block from any cause; worldwide, about 1 in 2,500 individuals have complete heart block.)",3,0
1496,what are the genetic changes related to progressive familial heart block.,"mutations in the scn5a and trpm4 genes cause most cases of progressive familial heart block types ia and ib, respectively. the proteins produced from these genes are channels that allow positively charged atoms.  into and out of cells. both channels are abundant in heart.  cells and play key roles in these cells' ability to generate and transmit electrical signals. these channels play a major role in signaling the start of each heartbeat, coordinating the contractions of the atria and ventricles, and maintaing a normal heart rhythm. the scn5a and trpm4 gene mutations that cause progressive familial heart block alter the normal function of the channels. as a result of these channel alterations, cardiac cells have difficulty producing and transmitting the electrical signals that are necessary to coordinate normal heartbeats, leading to heart block. death of these impaired cardiac cells over time can lead to fibrosis, worsening the heart block. mutations in other genes, some of which are unknown, account for the remaing cases of progressive familial heart block.)",0,0
1497,is progressive familial heart block inherited.,"progressive familial heart block types i and ii are inherited in autosomal dominant pattern, which means one copy of an altered gene in each cell is sufficient to cause the disorder. some people with trpm4 gene mutations never develop the condition, a situation known as reduced penetrance. in most cases, an affected person has one parent with progressive familial heart block.)",0,0
1498,what are the treatments for progressive familial heart block.,"these resources address the diagnosis or management of progressive familial heart block: - american heart association: common tests for arrhythmia - genetic testing registry: progressive familial heart block type 1b - genetic testing registry: progressive familial heart block type 2 - medline. plus health topic: pacemakers and implantable defibrillators - national heart, lung, and blood institute: how does a pacemaker work? - national heart, lung, and blood institute: how is sudden cardiac arrest diagnosed? these resources from medline. plus offer information about the diagnosis and management of various health conditions: - diagnostic tests - drug therapy - surgery and rehabilitation - genetic counseling - palliative care)",3,0
1499,what are the symptoms of heart block.,"talk to your health care provider about your symptoms. the symptoms are different for first, second, and third-degree heart block. you may not have any symptoms for first-degree heart block. you may not know you have heart block until it shows up on a test called an electrocardiogram.. if you have second-degree or third-degree heart block, symptoms may include: - chest pain - dizziness - feeling faint - tiredness - heart palpitations. palpitations are when your heart feels like it is pounding or racing.)",3,0
1500,what are the treatments for heart block.,"the treatment for heart block depends the type of heart block you have and the cause. if you do not have serious symptoms and have a milder type of heart block, you will most likely need to: - have regular checkups with your health care provider. - check your pulse every day. - be aware of your symptoms and know when to call your provider if symptoms change. if you have second- or third-degree heart block, you may need a pacemaker to help your heart beat regularly. - a pacemaker is smaller than a deck of cards. it is put inside the skin on your chest. it gives off electrical signals to make your heart beat a regular rate and rhythm. - how long you need the pacemaker depends on the type of heart block you have. - heart block caused by a heart attack or heart surgery may go away as you recover. - if medicine is causing heart block, changing medications can fix the problem. do not stop taking any medicine unless your doctor tells you to do so.)",3,0
1501,do you have information about his bundle electrography.,his bundle electrography is a test that measures electrical activity in a part of the heart that carries the signals that control the time between heartbeats..,3,1
1502,what are the symptoms of heart block ?,signs and symptoms depend on the type of heart block you have. first-degree heart block may not cause any symptoms.,3,0
1503,what is.  progressive familial heart block.,"progressive familial heart block is a genetic condition that alters the normal beating of the heart. a normal heartbeat is controlled by electrical signals that move through the heart in a highly coordinated way. these signals begin a specialized cluster of cells called the sinoatrial node.  located in the heart's upper chambers.. from there, a group of cells called the atrioventricular node carries the electrical signals to another cluster of cells called the bundle of his. this bundle separates into multiple thin spindles called bundle branches, which carry electrical signals into the heart's lower chambers.. electrical impulses move from the sinoatrial node down to the bundle branches, stimulating a normal heartbeat in which the ventricles contract slightly later than the atria. heart block occurs when the electrical signaling is obstructed anywhere from the atria to the ventricles. in people with progressive familial heart block, the condition worsens over time: early in the disorder, the electrical signals are partially blocked, but the block eventually becomes complete, preventing any signals from passing through the heart. partial heart block causes a slow or irregular heartbeat. , and can lead to the buildup of scar tissue.  in the cells that carry electrical impulses. fibrosis contributes to the development of complete heart block, resulting in uncoordinated electrical signaling between the atria and the ventricles and inefficient pumping of blood in the heart. complete heart block can cause a sensation of fluttering or pounding in the chest. , shortness of breath, fainting. , or sudden cardiac arrest and death. progressive familial heart block can be divided into type i and type ii, with type i being further divided into types ia and ib. these types differ in where in the heart signaling is interrupted and the genetic cause. in types ia and ib, the heart block originates in the bundle branch, and in type ii, the heart block originates in the atrioventricular node. the different types of progressive familial heart block have similar signs and symptoms. most cases of heart block are not genetic and are not considered progressive familial heart block. the most common cause of heart block is fibrosis of the heart, which occurs a normal process of aging. other causes of heart block can include the use of certain medications or an infection of the heart tissue.)",0,0
1504,what is.  alcohol use and safe drinking.,"alcohol is one of the most widely used drug substances in the world. teen drinking alcohol use is not only an adult problem. most american high school seniors have had an alcoholic drink within the past month. this in spite of the fact that the legal drinking age is 21 years old in the u. s. about 1 in 5 teens are considered ""problem drinkers."" this means that they: - get drunk - have accidents related to alcohol use - get into trouble with the law, family members, friends, school, or dates because of alcohol the effects of alcoholic drinks have different amounts of alcohol in them: - beer is about 5% alcohol, although some beers can have more. - wine is usually 12 to 15% alcohol. - hard liquor is about 45% alcohol. alcohol gets into your bloodstream quickly. the amount and type of food in your stomach can change how quickly this occurs. for example, high-carbohydrate and high-fat foods can make your body absorb alcohol more slowly. certain types of alcoholic drinks get into your bloodstream faster. stronger drinks tend to be absorbed faster. alcohol slows your breathing rate, heart rate, and how well your brain functions. these effects may appear within 10 minutes and peak at around 40 to 60 minutes. alcohol stays in your bloodstream until it is broken down by the liver. the amount of alcohol in your blood is called your ""blood alcohol level."" if you drink alcohol faster than the liver can break it down, this level rises. your blood alcohol level is used to legally define whether or not you are drunk. the legal limit for blood alcohol usually falls between 0. 08 and 0. 10 in most states. below is a list of blood alcohol levels and the likely symptoms: - 0. 05 - reduced inhibitions - 0. 10 - slurred speech - 0. 20 - euphoria and motor impairment - 0. 30 - confusion - 0. 40 - stupor - 0. 50 - coma - 0. 60 - respiratory paralysis and death you can have symptoms of ""being drunk"" at blood alcohol levels below the legal definition of being drunk. also, people who drink alcohol frequently may not have symptoms until a higher blood alcohol level is reached. health risks of alcohol increases the risk of: - alcoholism - falls, drownings, and other accidents - head, neck, stomach, and breast cancers - motor vehicle accidents - risky sex behaviors, unplanned or unwanted pregnancy, and sexually transmitted infections.  - suicide and homicide drinking during pregnancy can harm the developing baby. severe birth defects or fetal alcohol syndrome are possible. responsible drinking if you drink alcohol, it is best to do so in moderation. moderation means the drinking is not getting you intoxicated.  and you are drinking no more than 1 drink per day if you are a woman and no more than 2 if you are a man. a drink is defined as 12 ounces of beer, 5 ounces of wine, or 1 ounces of liquor. here are some ways to drink responsibly, provided you do not have a drinking problem, are of legal age to drink alcohol, and are not pregnant: - never drink alcohol and drive a car. - if you are going to drink, have a designated driver, or plan alternative way home, such as a taxi or bus. - do not drink on an empty stomach. snack before and while drinking alcohol. if you are taking medication, including over-the-counter drugs, check with your doctor before drinking alcohol. alcohol can make the effects of many medicines stronger. it can also interact with other medicines, making them ineffective or dangerous or make you sick. if alcohol use runs in your family, you may be at increased risk of developing this disease yourself. so, you may want to avoid drinking alcohol altogether. call your health care provider if: - you are concerned about your personal alcohol use or that of a family member - you are interested in more information regarding alcohol use or support groups - you are unable to reduce or stop your alcohol consumption, in spite of attempts to stop drinking other resources include: - local alcoholics anonymous or al-anon/alateen groups - local hospitals - public or private mental health agencies - school or work counselors - student or employee health centers)",3,0
1505,what is.  allergic reactions ?,"allergic reactions are sensitivities to substances called allergens that come into contact with the skin, nose, eyes, respiratory tract, and gastrointestinal tract. they can bebreathed into the lungs, swallowed, or injected.)",6,0
1506,what to do for allergic reactions ?,"allergic reactions are common. the immune response that causes an allergic reaction is similar to the response that causes hay fever. most reactions happen soon after contact with an allergen. many allergic reactions are mild, while others can be severe and life-threatening. they can be confined to a small area of the body, or they may affect the entire body. the most severe form is called anaphylaxis or anaphylactic shock. allergic reactions occur more often in people who have a family history of allergies. substances that don't bother most people.  can trigger allergic reactions in certain people. first-time exposure may produce only a mild reaction. repeated exposures may lead to more serious reactions. once a person has had an exposure or an allergic reaction. , even a very limited exposure to a very small amount of allergen can trigger a severe reaction. most severe allergic reactions occur within seconds or minutes after exposure to the allergen. some reactions can occur after several hours, particularly if the allergen causes a reaction after it has been eaten. in very rare cases, reactions develop after 24 hours. anaphylaxis a sudden and severe allergic reaction that occurs within minutes of exposure. immediate medical attention is need for this condition. without treatment, anaphylaxis can get worse very quickly and lead to death within 15 minutes.)",1,0
1507,do you have information about am in labor.,"if you've never given birth before, you may think you'll just know when the time comes. in reality, it isn't always easy to know when you're going into labor. the steps leading up to labor can drag on for days. keep in mind that your due date is just a general idea of when your labor may start. normal term labor can start any time between 3 weeks before and 2 weeks after this date.",2,0
1508,what is.  antisocial personality disorder.,"antisocial personality disorder is a mental condition in which a person has a long-term pattern of manipulating, exploiting, or violating the rights of others. this behavior is often criminal.)",5,0
1509,what causes antisocial personality disorder.,"cause of antisocial personality disorder is unknown. genetic factors and environmental factors, such as child abuse, are believed to contribute to the development of this condition. people with antisocial or alcoholic parent are at increased risk. far more men than women are affected. the condition is common among people who are in prison. fire-setting and cruelty to animals during childhood are often seen in the development of antisocial personality. some doctors believe that psychopathic personality.  is the same disorder. others believe that psychopathic personality is a similar but a more severe disorder.)",5,0
1510,what is.  bleeding gums.,bleeding gums can be a sign that you have or are at risk for gum disease. ongoing gum bleeding may be due to serious medical conditions such as leukemia and bleeding and platelet disorders.),5,0
1511,what causes bleeding gums.,"the main cause of bleeding gum is the buildup of plaque at the gum line. this will lead to a condition called gingivitis, or inflamed gums. plaque that is not removed will harden into tar. this will lead to increased bleeding and a more advanced form of gum and jawbone disease known as periodontis. other causes of bleeding gums include: - any bleeding disorder - brushing too hard - hormonal changes during pregnancy - idiopathic thrombocytopenic pura - ill-fitting dentures or other dental appliances - improper flossing - infection, which can be either tooth- or gum-related - leukemia - scurvy - use of blood thinners - vitamin k deficiency)",1,2
1512,what to do for bleeding gums.,"visit the dentist at least once every 6 months for plaque removal. follow your dentist's home care instructions. you should brush your teeth gently with a soft-bristle toothbrush at least twice a day. it is best if you can brush after every meal. your dentist may tell you to rinse with salt water or hydrogen peroxide and water. do not use mouthwashes that contain alcohol, which can make the problem worse. flossing teeth twice a day can prevent plaque from building up. it can help to follow a balanced, healthy diet. try to avoid snacking between meals and cut down on the carbohydrates you eat. other tips: - have periodontal exam. - avoid the use of tobacco, which aggravates bleeding gums. - control gum bleeding by applying pressure directly on the gums with a gauze pad soaked in ice water. - if you have been diagnosed with a vitamin deficiency, take vitamin supplements. - avoid aspirin unless your health care provider has recommended that you take it. - if side effects of a medicine are causing the irritation, ask your doctor to prescribe a different drug. never change your medicine without first talking to your doctor. - use an oral irrigation device on the low setting to massage the gums. - see your dentist if your dentures or other dental appliances do not fit well or are causing sore spots on your gums. - follow your dentist's instructions on how to brush and floss so you can avoid hurting your gums.)",1,0
1513,what is.  dementia - keeping safe in the home ?,it is important to make sure the homes of people who have dementia are safe for them.),2,2
1514,do you have information about drinking water safely during cancer treatment,"during and right after your cancer treatment, your body cannot protect itself against infections. tiny germs can be in water, even when it looks clean. you need to be careful where you get your water from. this includes water for drinking, cooking, and brushing your teeth. ask your doctor nurse about special care you should take.",3,2
1515,do you have information about gum biopsy.,a gum biopsy is a surgery in which a small piece of gingival.  tissue is removed and examined.,1,1
1516,do you have information about safe driving for teens.,"learning to drive is an exciting time for teenagers and their parents. it opens up many options for a young person, but it also carries risks. young people between ages 15 and 24 have the highest rate of auto-related deaths. the rate is the highest for young men. parents and teens should be aware of problem areas and take steps to avoid hazards.",4,0
1517,do you have information about safe eating during cancer treatment,"when you have cancer, you need good nutrition to help keep your body strong. to do this you need to watch the foods you eat and how you prepare them. some raw foods can contain germs that can hurt you when cancer or treatment weakens your immune system. ask your doctor nurse about how to eat well but safely. when you eat eggs: - yolks and whites should be cooked solid. do not eat runny eggs. - do not eat foods that may have raw eggs in them.. be careful when you have dairy products: - all milk, yogurt, cheese, and other dairy should have the word pasteurized on their containers. - do not eat soft chees or chees with blue veins.. - do not eat mexican-style chees.. fruits and vegetables: - wash all raw fruits, vegetables, and fresh herbs with cold running water. - do not eat raw vegetable sprouts.. - do not use fresh salsa or salad dressings that are kept in the refrigerated cases of the grocery store. - drink only juice that says pasteurized on the container. do not eat raw honey. eat only heat-treated honey. avoid sweets that have creamy fillings.",3,2
1518,do you have information about safe sex,"safe sex means taking steps before and during sex that can prevent you from getting an infection, or from giving an infection to your partner.",1,2
1519,do you have information about taking multiple medicines safely,"if you take more than one medicine, it is important to take them carefully and safely. some medicines can interact and cause side effects. it can also be hard to keep track of when and how to take each medicine. here are tips to help you keep track of your medicines and take them as directed.",0,2
1520,do you have information about using over-the-counter medicines safely,"over-the-counter.  medicines are drugs you can buy without a prescription. they treat a variety of minor health conditions. most otc medicines are not as strong as what you can get with a prescription. but that does not mean they are without risk. in fact, not using otc the medicines safely can lead to serious health problems. here is what you need to know about otc drugs.",3,2
1521,what to do in case of emergency or overdose of cephalexin ?,"in case of overdose, call your local poison control center at 1-800-222-1222. if the victim has collapsed or is not breathing, call local emergency services at 911.)",4,0
1522,who should get nicotine gum and why is it prescribed ?,"nicotine chewing gum is used to help people stop smoking cigarettes. nicotine chewing gum should be used together with a smoking cessation program, which may include support groups, counseling, or specific behavioral change techniques. nicotine gum is in a class of medications called smoking cessation aids. it works by providing nicotine to your body to decrease the withdrawal symptoms experienced when smoking is stopped and as a substitute oral activity to reduce the urge to smoke.)",3,2
1523,how should nicotine gum be used and what is the dosage ?,"nicotine gum is used by mouth as a chewing gum and should not be swallowed. follow the directions on your package label carefully, and ask your doctor pharmacist to explain any part you do not understand. use nicotine gum exactly as directed. do not use more or less of it or use it more often than directed on the package label or as recommended by your doctor. if you smoke your first cigarette more than 30 minutes after waking up, use the 2-mg gum. people who smoke their first cigarette within 30 minutes of waking up should use the 4-mg gum. nicotine gum may be used regularly by chewing one piece of gum every 1 to 2 hours for the first 6 weeks, followed by one piece every 2 to 4 hours for 3 weeks, and then one piece every 4 to 8 hours for 3 weeks. if you have strong or frequent cravings, you may chew a second piece within one hour. to improve your chances of quitting smoking, chew at least 9 pieces of nicotine gum each day for the first 6 weeks. chew nicotine gum slowly until you can taste the nicotine or feel a slight tingling in your mouth. then stop chewing and place.  the chewing gum between your cheek and gum. when the tingling is almost gone. , start chewing again; repeat this procedure for about 30 minutes. avoid eating and drinking for 15 minutes before and during chewing of nicotine gum. do not chew nicotine gum too fast, do not chew more than one piece of gum at a time, and do not chew one piece too soon after another. chewing one piece of gum after another continuously may cause hiccups, heartburn, nausea, or other side effects. do not chew more than 24 pieces a day. you should stop using nicotine gum after 12 weeks of use. if you still feel the need to use nicotine gum after 12 weeks, talk to your doctor.)",1,2
1524,what other information should i know about penicillin g benzathine and penicillin g procaine injection ?,"keep all appointments with your doctor and the laboratory. your doctor may order certain lab tests to check your body's response to penicillin g benzathine and penicillin g procaine injection. ask your pharmacist any questions you have about penicillin g benzathine and penicillin g procaine injection. it is important for you to keep a written list of all of the prescription and nonprescription.  medicines you are taking, as well as any products such as vitamins, minerals, or other dietary supplements. you should bring this list with you each time you visit a doctor if you are admitted to a hospital. it is also important information to carry with you in case of emergencies.)",2,2
1525,what are the brand names of cephalexin ?,- keflet tablets - keflex capsules - keflex suspension - keftab tablets - panixine disperdose),0,1
1526,who should get cephalexin and why is it prescribed ?,"cephalexin is a cephalosporin antibiotic used to treat certain infections caused by bacteria such as pneumonia and bone, ear, skin, and urinary tract infections. antibiotics will not work for colds, flu, or other viral infections. this medication is sometimes prescribed for other uses; ask your doctor pharmacist for more information.)",1,2
1527,how should cephalexin be used and what is the dosage ?,"cephalexin comes a capsule, tablet, and liquid to take by mouth. it is usually taken every 6 hours.  or every 12 hours.  for 7 to 10 days. follow the directions on your prescription label carefully, and ask your doctor pharmacist to explain any part you do not understand. take cephalexin exactly as directed. do not take more or less of it or take it more often than prescribed by your doctor. shake the liquid well before each use to mix the medication evenly. the capsules and tablets should be swallowed whole and taken with a full glass of water. continue to take cephalexin even if you feel well. do not stop taking cephalexin without talking to your doctor.)",5,2
1528,what should i do if i forget a dose of cephalexin ?,"take the missed dose as soon as you rember it. however, if it is almost time for the next dose, skip the missed dose and continue your regular dosing schedule. do not take a double dose to make up for a missed one.)",6,0
1529,what are the side effects or risks of cephalexin ?,"cephalexin may cause side effects. tell your doctor if any of these symptoms are severe or do not go away: - upset stomach - diarrhea - vomiting - mild skin rash if you experience any of the following symptoms, call your doctor immediately: - severe skin rash - itching - hives - difficulty breathing or swallowing - wheezing - unusual bleeding or bruising - sore throat - painful mouth or throat sores - vaginal infection if you experience a serious side effect, you or your doctor may send a report to the food and drug administration's.  med. watch adverse event reporting program online.  or by phone..)",1,0
1530,what other information should i know about cephalexin ?,"keep all appointments with your doctor and the laboratory. your doctor will order certain lab tests to check your response to cephalexin. if you are diabetic, use clinistix or tes. tape.  to test your urine for sugar while taking this drug. do not let anyone else take your medication. your prescription is probably not refillable. if you still have symptoms of infection after you finish the cephalexin, call your doctor. it is important for you to keep a written list of all of the prescription and nonprescription.  medicines you are taking, as well as any products such as vitamins, minerals, or other dietary supplements. you should bring this list with you each time you visit a doctor if you are admitted to a hospital. it is also important information to carry with you in case of emergencies.)",2,2
1531,how should cephalexin be used and what is the dosage ?,"cephalexin comes a capsule, tablet, and liquid to take by mouth. it is usually taken every 6 hours.  or every 12 hours.  for 7 to 10 days. follow the directions on your prescription label carefully, and ask your doctor pharmacist to explain any part you do not understand. take cephalexin exactly as directed. do not take more or less of it or take it more often than prescribed by your doctor. shake the liquid well before each use to mix the medication evenly. the capsules and tablets should be swallowed whole and taken with a full glass of water. continue to take cephalexin even if you feel well. do not stop taking cephalexin without talking to your doctor.)",5,2
1532,are there safety concerns or special precautions about cephalexin ?,"before taking cephalexin, - tell your doctor and pharmacist if you are allergic to cephalexin or any other cephalosporin antibiotic such as cefadroxil.  or cephradine. , penicillin, or any other drugs. - tell your doctor and pharmacist what prescription and nonprescription medications you are taking, especially other antibiotics, anticoagulants.  such as warfarin. , probenecid. , and vitamins. - tell your doctor if you have or have ever had kidney or liver disease, colitis, or stomach problems. - tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. if you become pregnant while taking cephalexin, call your doctor. - if you are having surgery, including dental surgery, tell the doctor dentist that you are taking cephalexin.)",3,2
1533,do you have information about endometrial ablation.,endometrial ablation is a surgery or procedure done to damage the ling of the uterus in order to minimize heavy or prolonged menstrual flow. this ling is called the endometrium.,3,0
1534,do you have information about foods - fresh vs. frozen or canned.,"vegetables are an important part of a well-balanced diet. many people wonder if frozen and canned vegetables are as healthy for you as fresh vegetables. overall, vegetables fresh from the farm or just picked are healthier than frozen or canned ones. but frozen and canned vegetables can still be a good choice. they need to be canned or frozen right after being harvested, when they still have all of their healthy nutrients. also, keep in mind how much salt is added to canned vegetables. try to buy those without added salt and don't overcook any vegetable, whether fresh, frozen, or canned. instead of boiling them in water for longer periods of time, they should be lightly steamed.)",3,2
1535,what is.  heart block.,"heart block is a problem in the electrical signals in the heart. normally, the heart beat starts in area in the top chambers of the heart.. this area is the heart's pacemaker. the electrical signals travel to the lower chambers of the heart.. this keeps the heart beat steady and regular. heart block occurs when the electrical signal is slowed down or does not reach the bottom chambers of the heart. your heart may beat slowly, or it may skip beats. heart block may resolve on its own, or it may be permanent and require treatment. there are three degrees of heart block. first-degree heart block is the mildest type and third-degree is the most severe. first-degree heart block: - rarely has symptoms second-degree heart block: - the electrical impulse may not reach the lower chambers of the heart. - the heart may miss a beat or beats and may be slow and irregular. - you may feel dizzy, faint, or have other symptoms. third-degree heart block: - the electrical signal does not move to the lower chambers of the heart. in this case, the lower chambers beat a much slower rhythm, and the upper and lower chambers do not beat the same rate. - the heart fails to pump enough blood to the body. this can lead to fainting and shortness of breath. - this an emergency that needs medical help right away.)",3,0
1536,how to diagnose heart block.,"your health care provider will most likely send you to a heart doctor.  to check for heart block. the cardiologist will talk to you about your medical history and the medicines you are taking. the cardiologist will also: - do a complete physical exam. the doctor will check you for signs of heart failure, such asswollen ankles and feet. - do an ecg test to check the electrical signals in your heart. - you may need to wear a heart monitor for 24 to 48 hours or longer to check the electrical signals in your heart.)",3,0
1537,what is.  heart failure - tests.,"the diagnosis of heart failure is made largely on a person's symptoms and a physical exam. however, there are many tests that can help give more information about the condition.)",3,0
1538,do you have information about holter monitor..,a holter monitor is a machine that continuously records the heart's rhythms. the monitor is worn for 24 - 48 hours during normal activity.,3,0
1539,what is.  low back pain - acute.,"low back pain refers to pain that you feel in your lower back. you may also have back stiffness, decreased movement of the lower back, and difficulty standing straight. acute back pain can last for a few days to a few weeks.)",1,0
1540,what is.  varicose vein - noninvasive treatment.,"varicose veins are swollen, twisted, painful veins that have filled with blood.)",4,0
