Question,Answer,Source,,,,,,,,
What is the name of the disease caused buy SARS-COV-2,coronavirus disease 2019 (COVID -19),GitHub COVID-QA Dataset,,,,,,,,
How does the genome of 2019-vCOV compare with  SARS like viruses and SARS-COV,"Overall, the genome of 2019-nCoV has 89% nucleotide identity with bat SARS-like-CoVZXC21 and 82% with that of human SARS-CoV. The phylogenetic trees of their orf1a/b, Spike, Envelope, Membrane and Nucleoprotein also clustered closely with those of the bat, civet and human SARS coronaviruses.",GitHub COVID-QA Dataset,,,,,,,,
What suggests that Irish equine coronaviruses may have a low genetic diversity,high level of homology between viruses,GitHub COVID-QA Dataset,,,,,,,,
Where was SARS-CoV-2 first identified,"Wuhan, capital of Hubei Province, China",GitHub COVID-QA Dataset,,,,,,,,
What is a major difference in clinical progression between SARS-CoV and MERS-CoV,"Unlike SARS-CoV infection, which causes primarily a severe respiratory syndrome, MERS-CoV infection can also lead to kidney failure",GitHub COVID-QA Dataset,,,,,,,,
How big was the temporary hospital built in Wuhan City for treatment of COVID-19 patients,1000 bed hospital,GitHub COVID-QA Dataset,,,,,,,,
Being closest to 2019-nCoV which species do the two bat SARS-related coronavirus ZXC21 and ZC45 infect,"can infect suckling rats and cause inflammation in the brain tissue, and pathological changes in lung & intestine. ",GitHub COVID-QA Dataset,,,,,,,,
Can coronavirus travel by wind ,"Coronavirus cannot travel very far in the air, the World Health Organization says. ",Cable News Network,,,,,,,,
Should I stop wearing contacts and switch to glasses ,There is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.,Cable News Network,,,,,,,,
"Can you safely reuse a non-cloth mask that you can°Øt wash, like a disposable mask","Yes you can, said Dr. Joseph Vinetz, an infectious diseases professor at Yale School of Medicine.",Cable News Network,,,,,,,,
What°Øs so different about coronavirus that we have to shut down businesses ,"Unlike SARS and swine flu, the novel coronavirus is both highly contagious and especially deadly, CNN Chief Medical Correspondent Dr. Sanjay Gupta said. ",Cable News Network,,,,,,,,
"Will ingesting or injecting disinfectants, like the ones that kill viruses on surfaces, protect me against coronavirus or kill coronavirus if I already have it","°∞That°Øs a bad idea,°± said Dr. Colleen Kraft, an infectious diseases professor at Emory University School of Medicine. °∞It could definitely kill you.°±",Cable News Network,,,,,,,,
Can mosquitoes transmit coronavirus,No. ,Cable News Network,,,,,,,,
Is it true young people with coronavirus are also having blood clots and strokes ,"Yes, some young adults have subered strokes after getting coronavirus. ",Cable News Network,,,,,,,,
Why worry about coronavirus when the flu kills so many people ,The number of Americans killed from Covid-19 and those who have died from the flu this season are now comparable. But deaths from Covid-19 are happening at a much faster rate. ,Cable News Network,,,,,,,,
Why can°Øt we just test everyone in the US ,"Doctors say it°Øs not realistic to test all 328 million people in the US, especially since many states are still struggling to get enough tests or testing supplies. ",Cable News Network,,,,,,,,
"Do I need to wash my clothes right after encountering other people, like at the grocery store or while jogging","Coronavirus can stay alive for up to three days on stainless steel and plastic. But clothing is probably more like cardboard ? it°Øs more absorbent, so the virus is unlikely to stay and last that long.",Cable News Network,,,,,,,,
Can coronavirus spread through water,There is no evidence that COVID-19 can be spread to humans through the use of pools and hot tubs.,Cable News Network,,,,,,,,
How can someone spread coronavirus when asymptomatic ,"When you speak, sometimes you°Øll spit a little bit. You°Øll rub your nose. You°Øll touch your mouth. You°Øll rub your eyes. And then you°Øll touch other surfaces, and then you will be spreading virus if you are infected and shedding asymptomatically.",Cable News Network,,,,,,,,
Can you get coronavirus from touching money ? either cash or coins ,Viruses can live on surfaces and objects ? including on money ? although your chance of actually getting COVID-19 from cash is probably very low.,Cable News Network,,,,,,,,
Will an antibody test show whether I°Øm immune and can go back to work ,"Not necessarily. Antibodies are a body°Øs response to bacteria or viruses. But this novel coronavirus is so new, it°Øs still not clear whether having antibodies to it means you have long-term protection from getting reinfected. ",Cable News Network,,,,,,,,
"If novel coronavirus antibodies may or may not offer long-term immunity, how would a vaccine help","In some cases, a vaccine might give stronger protection than antibodies produced after being infected, epidemiologist.",Cable News Network,,,,,,,,
What are the odds that the US can reopen by May 1 ,"°∞May 1st, I think, is completely unrealistic,°± said Dr. Ashish Jha, director of the Harvard Global Health Institute. ",Cable News Network,,,,,,,,
Are some blood types able to fight this coronavirus better than other blood types ,"°∞With this respiratory virus, (as) with other coronaviruses, no,°± said Dr. Maria Van Kerkhove, technical lead for the World Health Organization°Øs Covid-19 response. ",Cable News Network,,,,,,,,
Can I use vodka as hand sanitizer,The CDC advises using hand sanitizer that contains at least 60% alcohol. ,Cable News Network,,,,,,,,
Are smokers or vapers at higher risk,This is not a good time to be vaping or smoking anything. ,Cable News Network,,,,,,,,
Can I get coronavirus through food ,There°Øs no evidence that coronavirus can be transmitted through food.,Cable News Network,,,,,,,,
Does this pandemic have anything to do with the 5G network ,No. That°Øs just a hoax going around the internet. ,Cable News Network,,,,,,,,
How long does coronavirus stay °∞alive°± on surfaces,"Up to three days, depending on the surface. ",Cable News Network,,,,,,,,
"After recovering from coronavirus, does a person have long-term immunity to the virus",It°Øs too early to know for sure.,Cable News Network,,,,,,,,
Will a pneumonia or flu vaccine help protect against coronavirus,Some cases of coronavirus do lead to pneumonia. But the pneumonia vaccine won°Øt help,Cable News Network,,,,,,,,
Should I wear a face mask in public,The CDC °∞recommends wearing cloth face coverings in public settings where other social distancing measures are diffcult to maintain.,Cable News Network,,,,,,,,
How long will we have to keep social distancing,"Probably for several months. But you might have to do it over and over again, since the outbreak could come in waves. ",Cable News Network,,,,,,,,
Why is a cure taking so long,"An antiviral drug must be able to target the specific part of a virus°Øs life cycle that is necessary for it to reproduce, according to Harvard Medical School.",Cable News Network,,,,,,,,
Why are medical workers getting sick with or dying from coronavirus if they°Øre wearing protective gear ,Many health care workers don°Øt actually have enough protective gear to handle the growing influx of coronavirus patients. ,Cable News Network,,,,,,,,
Can I have the flu and coronavirus at the same time,Yes. Testing positive for either the flu or coronavirus doesn°Øt exempt you from having the other at the same time. ,Cable News Network,,,,,,,,
Should all Americans be under stay-at-home orders,"°∞We really should be,°± said Dr. Anthony Fauci, a member of the White House Coronavirus Task Force. ",Cable News Network,,,,,,,,
How many people with coronavirus don't have symptoms ,Recent studies suggest 25% to 50% of coronavirus carriers don°Øt have symptoms.,Cable News Network,,,,,,,,
"If there°Øs no cure, why go to the hospital unless you have a breathing problem","Most coronavirus patients don°Øt need to be hospitalized. °∞The vast majority of people ? about 80% ? will do well without any specific intervention,°± said Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases.",Cable News Network,,,,,,,,
Can high or low temperatures kill coronavirus ,"Generally coronaviruses survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. However, we don°Øt have direct data for this virus, nor do we have direct data for a temperature-based cutob for inactivation at this point, ",Cable News Network,,,,,,,,
Is the water supply at risk ,"No, the water supply is not at risk. ",Cable News Network,,,,,,,,
Is coronavirus more contagious than the flu ,"Yes. Research indicates a person with the flu infects about 1.28 other people, on average. But with the novel coronavirus, it°Øs likely between 2 and 3 other people.",Cable News Network,,,,,,,,
"If people can spread the virus without showing any symptoms, how can I tell who°Øs infected and who°Øs not","You can°Øt, said Dr. James Phillips, chief of disaster and operational medicine at George Washington University Hospital.",Cable News Network,,,,,,,,
How does this coronavirus spread,"It primarily spreads between people through respiratory droplets, like through coughs, sneezes, spittle. ",Cable News Network,,,,,,,,
How long is someone contagious after getting coronavirus,It varies. Decisions about when a person can be released from isolation are made on a case-by-case basis. ,Cable News Network,,,,,,,,
What exactly does 'older' adults mean,The average age of death for people from coronavirus is 80. Average age of people who need medical attention is age 60.,Cable News Network,,,,,,,,
Are kids more at risk ,Younger people seem to be insulated to some extent to protect them from getting particularly sick.,Cable News Network,,,,,,,,
Is coronavirus especially harmful for pregnant women,Researchers do not have information from published scientific reports about susceptibility of pregnant women to this coronavirus.,Cable News Network,,,,,,,,
What can I do if my loved one suspects they have coronavirus ,Don°Øt visit family members with suspected illness ? keep up with them virtually. ,Cable News Network,,,,,,,,
Should I disinfect my groceries,"°∞I would suggest wiping down external surfaces of canned or wrapped foods,°± said Dr. Celine Gounder, an infectious disease specialist at Bellevue Hospital Center. ",Cable News Network,,,,,,,,
Should I stock up on extra food and supplies,"Yes, because a family member may suddenly have to quarantine. ",Cable News Network,,,,,,,,
Should I avoid public transportation,"If you rely on public transportation, use caution. If you°Øre sick or live in an area where an outbreak has been reported, avoid it. ",Cable News Network,,,,,,,,
How do I stay healthy while using Uber or Lyft,Both rideshare companies said they°Øre actively trying to protect customers and drivers from coronavirus. ,Cable News Network,,,,,,,,
Is it safe for me to vote at a polling location,States have received guidance from the CDC on how to keep voting locations clean. It°Øs up to you whether you feel comfortable going. ,Cable News Network,,,,,,,,
Should I go to work,"If you can, you should stay home from work when you°Øre sick, whether or not you have coronavirus. ",Cable News Network,,,,,,,,
Can I be fired if I stay home sick ,An employee can be fired if they don°Øt show up to work and they don°Øt have sick leave that would cover the absence.,Cable News Network,,,,,,,,
What happens when workers don't get paid sick leave,"The Family and Medical Leave Act (FMLA) can sometimes protect a worker°Øs job in the event they get sick, but it won°Øt guarantee they get paid while they°Øre out. ",Cable News Network,,,,,,,,
Can managers send a sick worker home ,"Yes, managers can. ",Cable News Network,,,,,,,,
"If traveling on a plane, how do I stay safe",It°Øs not the cabin air you need to worry about. It°Øs keeping your hands clean.,Cable News Network,,,,,,,,
"Since a plane's cabin keeps circulating air, will I get sick if another passenger is sick",Most viruses don°Øt spread easily on airplanes because of how the air circulates and is filtered.,Cable News Network,,,,,,,,
"If I have a weakened immune system, should I cancel my travel plans","People who are immunocompromised are at higher risk from this illness, as well as other illnesses like the flu. Avoiding contact with ill people is crucial.",Cable News Network,,,,,,,,
What do I do if I think I°Øm sick,Stay home. Call your doctor to talk about your symptoms and let them know you°Øre coming for an appointment so they can prepare for your visit.,Cable News Network,,,,,,,,
What°Øs the best way to prevent coronavirus,"Stay at least 6 feet away from others, and wash your hands often. ",Cable News Network,,,,,,,,
Should I spray myself or my kids with disinfectant,No. Those products work on surfaces but can be dangerous to your body. ,Cable News Network,,,,,,,,
I°Øve heard that home remedies can cure or prevent the virus. Is that true ,"There°Øs no evidence from the outbreak that eating garlic, sipping water every 15 minutes or taking vitamin C will protect people from the new coronavirus. ",Cable News Network,,,,,,,,
"If infected with coronavirus, can you survive it and recover",Absolutely. The vast majority of people with coronavirus survive.,Cable News Network,,,,,,,,
How long does it take to recover,It takes anything up to six weeks to recover from this disease.,Cable News Network,,,,,,,,
Why waste a test kit on a person without symptoms,"Some people with coronavirus have mild or no symptoms. And in some cases, symptoms don°Øt appear until up to 14 days after infection. ",Cable News Network,,,,,,,,
Why is the US so far behind other countries with testing,Experts say it°Øs due to cuts in federal funding for public health and problems with early testing. ,Cable News Network,,,,,,,,
"If a coronavirus patient progresses to pneumonia, what antibiotics if any have proven to be effective","No, antibiotics are not effective against coronavirus because the disease is a viral infection, not a bacterial infection.",Cable News Network,,,,,,,,
Can the heat from a hand dryer kill coronavirus ,Hand dryers can°Øt kill the virus.,Cable News Network,,,,,,,,
Can I get coronavirus from a package sent from China,No. The new coronavirus cannot be transmitted through goods manufactured in China or any country reporting Covid-19 cases ,Cable News Network,,,,,,,,
What is a novel coronavirus ,"A novel coronavirus is a new coronavirus that has not been previously identifed. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.",CDC,,,,,,,,
"Why is the disease being called coronavirus disease 2019, COVID-19","The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, °ÆCO°Ø stands for °Æcorona,°Ø °ÆVI°Ø for °Ævirus,°Ø and °ÆD°Ø for disease. Formerly, this disease was referred to as °∞2019 novel coronavirus°± or °∞2019-nCoV°±.",CDC,,,,,,,,
Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19  ,"People in the U.S. may be worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading. Some people are worried about getting the disease from these people. Fear and anxiety can lead to social stigma, for example, toward people who live in certain parts of the world, people who have traveled internationally, people who were in quarantine, or healthcare professionals. ",CDC,,,,,,,,
How can people help stop stigma related to COVID-19  ,People can fight stigma by providing social support in situations where you notice this is occurring. ,CDC,,,,,,,,
Why do some state°Øs COVID-19 case numbers sometimes differ from what is posted on CDC°Øs website  ,CDC°Øs overall case numbers are validated through a confirmation process with jurisdictions. The process used for finding and confirming cases displayed by different places may differ. ,CDC,,,,,,,,
How do CDC°Øs COVID-19 case numbers compare with those provided by the World Health Organization (WHO) or Johns Hopkins  ,"CDC°Øs COVID-19 case numbers include many publicly reported numbers, including information from state, local, territorial, international and external partners. ",CDC,,,,,,,,
Why do the number of cases for previous days increase  ,Delays in reporting can cause the number of COVID-19 cases reported on previous days to increase.,CDC,,,,,,,,
What is the source of the virus  ,"COVID-19 is caused by a coronavirus called SARS-CoV-2. Coronaviruses are a large family of viruses that are common in people and may different species of animals, including camels, cattle, cats, and bats. Rarely, animal coronaviruses can infect people and then spread between people. The SARS-CoV-2 virus is a betacoronavirus, like MERS-CoV and SARS-CoV. All three of these viruses have their origins in bats. The sequences from U.S. patients are similar to the one that China initially posted, suggesting a likely single, recent emergence of this virus from an animal reservoir. However, the exact source of this virus is unknown.",CDC,,,,,,,,
How does the virus spread  ,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. ",CDC,,,,,,,,
Why are we seeing a rise in cases  ,The number of cases of COVID-19 being reported in the United States is rising due to increased laboratory testing and reporting across the country. The growing number of cases in part re$ects the rapid spread of COVID-19 as many U.S. states and territories experience community spread.,CDC,,,,,,,,
Can someone who has had COVID-19 spread the illness to others  ,How long someone is actively sick can vary so the decision on when to release someone from isolation is made using a test-based or non-test-based strategy (i.e. time since illness started and time since recovery) in consultation with state and local public health officials. ,CDC,,,,,,,,
Can someone who has been quarantined for COVID-19 spread the illness to others  ,Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period. ,CDC,,,,,,,,
"Can the virus that causes COVID-19 be spread through food, including restaurant take out, refrigerated or frozen packaged food","Currently, there is no evidence to support transmission of COVID-19 associated with food.",CDC,,,,,,,,
Can I get sick with COVID-19 if it is on food  ,"Based on information about this novel coronavirus thus far, it seems unlikely that COVID-19 can be transmitted through food ? additional investigation is needed. ",CDC,,,,,,,,
Will warm weather stop the outbreak of COVID-19  ,It is not yet known whether weather and temperature affect the spread of COVID-19. ,CDC,,,,,,,,
What is community spread  ,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected. ",CDC,,,,,,,,
What temperature kills the virus that causes COVID-19  ,Generally coronaviruses survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments. ,CDC,,,,,,,,
Can mosquitoes or ticks spread the virus that causes COVID-19  ,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. ",CDC,,,,,,,,
Does CDC recommend the use of facemask or face coverings to prevent COVID-19  ,CDC recommends that people wear a cloth face covering to cover their nose and mouth in the community setting. ,CDC,,,,,,,,
"Am I at risk for COVID-19 from mail, packages, or products","Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging.",CDC,,,,,,,,
Should contact lens wearers take special precautions to prevent COVID-19  ,People who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional. ,CDC,,,,,,,,
Is contact lens disinfecting solution effective against COVID-19  ,"Hydrogen peroxide-based systems for cleaning, disinfecting, and storing contact lenses should be effective against the virus that causes COVID-19. ",CDC,,,,,,,,
What is the risk of my child becoming sick with COVID-19 ,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. ",CDC,,,,,,,,
How can I protect my child from COVID-19 infection  ,You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy. ,CDC,,,,,,,,
Are the symptoms of COVID-19 different in children than in adults  ,No. The symptoms of COVID-19 are similar in children and adults. ,CDC,,,,,,,,
Should children wear masks  ,CDC recommends that everyone 2 years and older wear a cloth face covering that covers their nose and mouth when they are out in the community. ,CDC,,,,,,,,
How do I prepare my children in case of COVID-19 outbreak in our community  ,"Talk with your children about the outbreak, try to stay calm, and reassure them that they are safe. If appropriate, explain to them that most illness from COVID-19 seems to be mild.",CDC,,,,,,,,
What steps should parents take to protect children during a community outbreak  ,Discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of COVID-19 in the community. ,CDC,,,,,,,,
"While school°Øs out, can my child hang out with their friends","While school is out, children should not have in-person playdates with children from other households. If children are playing outside their own homes, it is essential that they remain 6 feet from anyone who is not in their own household.",CDC,,,,,,,,
"While school°Øs out, how can I help my child continue learning",Stay in touch with your child°Øs school.,CDC,,,,,,,,
"While school°Øs out, will kids have access to meals",Many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.,CDC,,,,,,,,
Is my child with an underlying medical condition or special healthcare need at higher risk for severe illness from COVID-19  ,It°Øs not known yet whether all of these children are at higher risk for severe illness from COVID-19. ,CDC,,,,,,,,
What can I do if my child has difficulties adjusting to new routines and following recommendations  ,"Behavioral techniques can be used to address behavioral challenges and to develop new routines. These include social stories, video modeling, picture schedules, and visual cues. Try rewarding your child in small ways with his or her favorite non-food treat or activities to help switch routines and to follow recommendations. ",CDC,,,,,,,,
How can my family cope with the added stress  ,"It is important to continue your family°Øs coping methods, including reaching out to other family members, friends, support groups, and organizations that have been helpful in the past. ",CDC,,,,,,,,
What if my child or someone else in the home is sick with symptoms of COVID-19  ,"If your child has new or worsening emergency warning signs, such as trouble breathing, pain or pressure in the chest, confusion or inability to wake them up, or bluish lips or face, call 911. ",CDC,,,,,,,,
"What if my child°Øs symptoms of their underlying medical condition or complex, chronic medical condition get worse",Call your child°Øs healthcare provider if you have any concerns about your child°Øs medical conditions.,CDC,,,,,,,,
What if my child needs to go to the hospital ,Ask the healthcare provider to let the hospital know you are coming and to share the important information the hospital will need to know to care for your child. ,CDC,,,,,,,,
How can my family and I prepare for COVID-19 ,Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community .,CDC,,,,,,,,
What steps can my family take to reduce our risk of getting COVID-19  ,Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. ,CDC,,,,,,,,
What should I do if someone in my house gets sick with COVID-19  ,Most people who get COVID-19 will be able to recover at home. ,CDC,,,,,,,,
"How can I prepare in case my child°Øs school, child care facility, or university is dismissed",Talk to the school or facility about their emergency operations plan.,CDC,,,,,,,,
How can I prepare for COVID-19 at work  ,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. ",CDC,,,,,,,,
Should I use soap and water or a hand sanitizer to protect against COVID-19  ,"Handwashing is one of the best ways to protect yourself and your family from getting sick. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.",CDC,,,,,,,,
What cleaning products should I use to protect against COVID-19  ,"If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See ",CDC,,,,,,,,
Should I make my own hand sanitizer if I can°Øt find it in the stores  ,CDC does not encourage the production and use of homemade hand sanitizer products.,CDC,,,,,,,,
What should I do if there is an outbreak in my community ,"During an outbreak, stay calm and put your preparedness plan to work. ",CDC,,,,,,,,
Will schools be dismissed if there is an outbreak in my community  ,Read or watch local media sources that report school dismissals or and watch for communication from your child°Øs school. ,CDC,,,,,,,,
Should I go to work if there is an outbreak in my community  ,"Stay home if you can. Talk to your employer to discuss working from home, taking leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child°Øs school is dismissed temporarily. ",CDC,,,,,,,,
Can CDC tell me or my employer when it is safe for me to go back to work/school after recovering from or being exposed to COVID-19 ,CDC cannot address the policies of any business or organization. ,CDC,,,,,,,,
What are the symptoms and complications that COVID-19 can cause ,"Cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat",CDC,,,,,,,,
Should I be tested for COVID-19  ,Not everyone needs to be tested for COVID-19. ,CDC,,,,,,,,
Where can I get tested for COVID-19  ,"Contact your state, local, tribal, or territorial department for more information, or reach out to a medical provider. ",CDC,,,,,,,,
Can a person test negative and later test positive for COVID-19  ,"A negative result means that the virus that causes COVID-19 was not found in the person°Øs sample. In the early stages of infection, it is possible the virus will not be detected. ",CDC,,,,,,,,
What kind of test is being used to diagnose if I have COVID-19  ,"All of these diagnostic tests identify the virus in samples from the respiratory system, such as from nasal or nasopharyngeal swabs. ",CDC,,,,,,,,
What is serology testing  And can I be tested using this method  ,"Serology testing checks a sample of a person°Øs blood to look for antibodies to SARS-CoV-2, the virus that causes COVID-19. These antibodies are produced when someone has been infected, so a positive result from this test indicates that person was previously infected with the virus. ",CDC,,,,,,,,
"If I have recovered from COVID-19, will I be immune to it","At this time, we are not sure if you can become re-infected.",CDC,,,,,,,,
Who is at higher risk for serious illness from COVID-19 ,"Based on currently available information and clinical expertise, older adults and people of any age who have serious underlying medical conditions might be at higher risk for severe illness from COVID-19. ",CDC,,,,,,,,
What should people at higher risk of serious illness with COVID-19 do  ,"If there is an outbreak in your community, stay home as much as possible. Watch for symptoms and emergency signs. If you get sick, stay home and call your doctor. ",CDC,,,,,,,,
Are there any medications I should avoid taking if I have COVID-19  ,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19. ",CDC,,,,,,,,
What about underlying medical conditions that are not included on this list  ,People with underlying medical conditions not on the list might also be at higher risk and should consult with their healthcare provider if they are concerned. ,CDC,,,,,,,,
What does a well-controlled health condition mean  ,"Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition. ",CDC,,,,,,,,
What does more severe illness mean  ,Severity typically means how much impact the illness or condition has on your body°Øs function. ,CDC,,,,,,,,
Are people with disabilities at higher risk  ,Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19. ,CDC,,,,,,,,
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19  ,There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19. ,CDC,,,,,,,,
Am I at risk if I touch someone who died of COVID-19 after they have passed away  ,People should consider not touching the body of someone who has died of COVID-19. ,CDC,,,,,,,,
What do funeral home workers need to know about handling decedents who had COVID-19  ,Funeral home workers should follow their routine infection prevention and control precautions when handling a decedent who died of COVID-19. ,CDC,,,,,,,,
What should I do if my family member died from COVID-19 while overseas  ,"When a US citizen dies outside the United States, the deceased person°Øs next of kin or legal representative should notify US consular officials at the Department of State. ",CDC,,,,,,,,
My family member died from COVID-19 while overseas. What are the requirements for returning the body to the United States  ,"CDC does not require an autopsy before the remains of a person who died overseas are returned to the United States. Depending on the circumstances surrounding the death, some countries may require an autopsy. ",CDC,,,,,,,,
What is CDC doing about COVID-19  ,CDC is working with other federal partners in a whole-of-government response. ,CDC,,,,,,,,
What is the difference between cleaning and disinfecting  ,"Cleaning with soap and water removes germs, dirt, and impurities from surfaces. It lowers the risk of spreading infection. Disinfecting kills germs on surfaces. ",CDC,,,,,,,,
What is routine cleaning ,Routine cleaning is the everyday cleaning practices that businesses and communities normally use to maintain a healthy environment. ,CDC,,,,,,,,
How frequently should facilities be cleaned to reduce the potential spread of COVID-19  ,"Surfaces frequently touched by multiple people, such as door handles, bathroom surfaces, and handrails, should be cleaned with soap and water or another detergent at least daily when facilities are in use. More frequent cleaning and disinfection may be required based on level of use. ",CDC,,,,,,,,
Is cleaning alone effective against the virus that causes COVID-19  ,"Cleaning does not kill germs, but by removing them, it lowers their numbers and the risk of spreading infection. ",CDC,,,,,,,,
Who should clean and disinfect community spaces  ,Regular cleaning staff can clean and disinfect community spaces. ,CDC,,,,,,,,
How long do companies need to close for disinfection after an exposure ,Companies do not necessarily need to close after a person with confirmed or suspected COVID-19 has been in a company facility. ,CDC,,,,,,,,
How long before other workers can come back to work  ,Workers without close contact with the person with confirmed or suspected COVID-19 can return to work immediately after disinfection is completed. ,CDC,,,,,,,,
"How effective are alternative disinfection methods, such as ultrasonic waves, high intensity UV radiation, and LED blue light",The efficacy of these disinfection methods against the virus that causes COVID-19 is not known.,CDC,,,,,,,,
"Should outdoor playgrounds, like those at schools or in parks, be cleaned and disinfected to prevent COVID-19",Outdoor areas generally require normal routine cleaning and do not require disinfection.,CDC,,,,,,,,
Can sanitizing tunnels be used at building entrances or exits to prevent the spread of COVID-19  ,CDC does not recommend the use of sanitizing tunnels. ,CDC,,,,,,,,
Should sidewalks and roads be disinfected to prevent COVID-19  ,CDC does not recommend disinfection of sidewalks or roads. ,CDC,,,,,,,,
Can I get COVID-19 from my pets or other animals  ,"At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. ",CDC,,,,,,,,
Do I need to get my pet tested for COVID-19 ,"No. At this time, routine testing of animals for COVID-19 is not recommended. ",CDC,,,,,,,,
Can animals carry the virus that causes COVID-19 on their skin or fur  ,"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets. ",CDC,,,,,,,,
Should I avoid contact with pets or other animals if I am sick with COVID-19  ,"Until we learn more about this new coronavirus, you should restrict contact with pets and other animals while you are sick with COVID-19, just like you would with people. ",CDC,,,,,,,,
What animals can get COVID-19  ,"CDC is aware of a small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19, mostly after close contact with people with COVID-19. ",CDC,,,,,,,,
Can I walk my dog  ,"Walk dogs on a leash, maintaining at least 6 feet (2 meters) from other people and animals, do not gather in groups, and stay out of crowded places and avoid mass gatherings. ",CDC,,,,,,,,
What should I do if my pet gets sick and I think it°Øs COVID-19  ,"If your pet gets sick after contact with a person with COVID-19, do not take your pet to the veterinary clinic yourself. ",CDC,,,,,,,,
Why are animals being tested when many people can°Øt get tested  ,Animals are only being tested in very rare circumstances. Routine testing of animals is not recommended at this time.,CDC,,,,,,,,
Are pets from a shelter safe to adopt  ,"There is no reason to think that any animals, including shelter pets, play a significant role in spreading the virus that causes COVID-19. ",CDC,,,,,,,,
Are import animals and animal products safe ,CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading COVID-19 in the United States. ,CDC,,,,,,,,
What precautions should be taken for animals that have recently been imported from outside the United States,"As with any animal introduced to a new environment, animals recently imported should be observed daily for signs of illness. If an animal becomes ill, the animal should be examined by a veterinarian. ",CDC,,,,,,,,
Can wild animals spread the virus that causes COVID-19 to people or pets  ,"Currently, there is no evidence to suggest the virus that causes COVID-19 is circulating in free-living wildlife in the United States, or that wildlife might be a source of infection for people in the United States. ",CDC,,,,,,,,
Can bats in United States spread COVID-19 back to people  ,"Other coronaviruses have been found in North American bats in the past, but there is currently no evidence that the virus that causes COVID-19 is present in any free-living wildlife in the United States, including bats. ",CDC,,,,,,,,
